部屋はきれいくないです。,部屋はきれいじゃないです。
部屋はきれくないです。,部屋はきれいじゃないです。
部屋はきれいありません。,部屋はきれいじゃありません。
部屋はきれいじゃありませんです。,部屋はきれいじゃありません。
このすしはおいしいじゃないです。,このすしはおいしくないです。
このすしはおいしいありません。,このすしはおいしくありません。
このすしはおいしいくないです。,このすしはおいしくないです。
このすしはおいしいでした。,このすしはおいしかったです。
このすしはおいしじゃなかったです。,このすしはおいしくなかったです。
このすしはおいしいじゃなかったです。,このすしはおいしくなかったです。
このペンはいくないです。,このペンはよくないです。
テストはいかったです。,テストはよかったです。
テストはいくなかったです。,テストはよくなかったです。
むずかしいのテストでした。,むずかしいテストでした。
これは不便のコンピューターです。,これは不便なコンピューターです。
これは不便コンピューターです。,これは不便なコンピューターです。
私のかばんはそのです。,私のかばんはそれです。
私ののはそれです。,私のはそれです。
あれ人はだれですか。,あの人はだれですか。
どれケーキがすきですか。,どのケーキがすきですか。
山田さんはどんなの人ですか。,山田さんはどんな人ですか。
どんながすきですか。,どんなのがすきですか。
としょかんはあこです。,としょかんはあそこです。
今日、天気は暑いです。,今日は暑いです。
ぜんぜんいいです。,ぜんぜんよくないです。
学生はあまり多いです。,学生はあまり多くないです。
明日ここにきない。,明日ここにこない。
このコンピューターはつかあない。,そのコンピューターはつかわない。
日本語しか分かります。,日本語しか分かりません。
すうがくはとても分かりません。,すうがくはよく分かりません。
すうがくはたくさん分かります。,すうがくはよく分かります。
日本語をべんきょうするます。,日本語をべんきょうします。
日本語をべんきょうしますです。,日本語をべんきょうします。
しゅくだいをしませんです。,しゅくだいをしません。
しゅくだいをしなかったでした。,しゅくだいをしなかったです。
九時にえきで、あいませんですか。,九時にえきで、あいませんか。
九時にえきで、あうませんですか。,九時にえきで、あいませんか。
犬がこうえんにあります。,犬がこうえんにいます。
大きい木がこうえんにいます。,大きい木がこうえんにあります。
その本を三枚ください。,その本を三さつください。
えんぴつがろくほんあります。,えんぴつがろっぽんあります。
今、べんきょうしっています。,今、べんきょうしています。
八時に帰りてください。,八時に帰ってください。
名前を書きてください。,名前を書いてください。
本を買いてください。,本を買ってください。
これを見えてください。,これを見てください。
これを見えてください。,これを見せてください。
英語を話すもいいですか。,英語を話してもいいですか。
手を洗わないもいいですか。,手を洗わなくてもいいですか。
手を洗わないでもいいですか。,手を洗わなくてもいいですか。
英語を話すはだめです。,英語をはなしてはだめです。
手を洗わないはだめです。,手を洗わなくてはだめです。
英語を話してはいけます。,英語を話してはいけません。
英語を話してはいきます。,英語を話してはいけません。
英語を話すはいけません。,英語を話してはいけません。
英語を話しはいけません。,英語を話してはいけません。
クラスで英語を話してはいいです。,クラスで英語を話してはいけません。
これは使いやすいので、練習しても使えます。,これは使いやすいので、練習しなくても使えます。
これは使いにくいので、練習しても使えます。,これは使いにくいので、練習しなくてはつかえません。
ひるごはんを行って食べます。,ひるごはんを食べてきます。
おふろにはいりて、ねます。,おふろにはいって、ねます。
おふろにはいる、ねます。,おふろにはいって、ねます。
アイスクリームが好きくて、よく食べます。,アイスクリームが好きで、よく食べます。
バスは安いで、よく使います。,バスは安くて、よく使います。
バスは安いくて、よく使います。,バスは安くて、よく使います。
バスは高くないで、よく使います。,バスは高くなくて、よく使います。
バスは高くない、よく使います。,バスは高くなくて、よく使います。
母は日本に住みます。,母は日本に住んでいます。
車を持ちますか。,車を持っていますか。
姉は結婚します。,姉は結婚しています。
山田さんを知ります。,山田さんを知っています。
山田さんを知っていません。,山田さんを知りません。
昨日、八時間ごろ寝ました。,昨日、八時間ぐらい寝ました。
昨日、十一時ぐらい寝ました。,昨日、十一時ごろ寝ました。
昨日、十一時ほど寝ました。,昨日、十一時ごろ寝ました。
明日えいがをいっしょに見ましょうですか。,明日えいがをいっしょに見ましょうか。
そのさいふは高いですから、買わない。,そのさいふは高いから、買わない。
その車はいいだから、買います,その車はいいから、買います。
病気から、クラスに行きません。,病気だから、クラスに行きません。
病気なから、クラスに行きません。,病気だから、クラスに行きません。
クラスに行きませんから、病気です。,病気ですから、クラスに行きません。
ひこうきは便利なから、よくつかいます。,ひこうきは便利だから、よくつかいます。
ひこうきは便利から、よくつかいます。,ひこうきは便利だから、よくつかいます。
山田さんは学生けど、色々なことをよく知っていますね。,山田さんは学生だけど、色々なことをよく知っていますね。
山田さんは学生ですけど、色々なことをよく知っている。,山田さんは学生だけど、色々なことをよく知っています。
教科書は高いだけど、買います。,教科書は高いけれど、買います。
鈴木さんは学生じゃないだけど、よく勉強する。,鈴木さんは学生じゃないけど、よく勉強する。
兄がににんいます。,あにがふたりいます。
兄がふたついます。,兄がふたりいます
ゆうびんきょくに切手を買うに行きます。,ゆうびんきょくに切手を買いに行きます。
ゆうびんきょくに切手を買ってに行きます。,ゆうびんきょくに切手を買いに行きます。
ゆうびんきょくに切手を買うのに行きます。,ゆうびんきょくに切手を買いに行きます。
お金がないで、困ります。,お金がなくて、困ります。
お金があらなくて、困ります。,お金がなくて、困ります。
お金があらないで、困ります,お金がなくて、困ります。
本を読むがすきです。,本を読むのがすきです。
本を読みがすきです。,本を読むのがすきです。
本を読みのがすきです。,本を読むのがすきです。
しゅみはえいがを見るです。,しゅみはえいがを見ることです。
しゅみはえいがを見てです。,しゅみはえいがを見ることです。
日本の夏は暑いだと思います.,日本の夏は暑いと思います。
鈴木さんはピアノが上手と思います。,鈴木さんはピアノが上手だと思います。
鈴木さんはピアノが上手ですと思います。,鈴木さんはピアノが上手だと思います。
鈴木さんはピアノが上手だとかんがえます。,鈴木さんはピアノが上手だと思います。
私もそうと思います。,私もそう思います。
そう思うですよ。,そう思いますよ。
そう思ったですよ。,そう思ったんですよ。
これ、どうと思いますか。,これ、どう思いますか。
山田さんは来年日本に行きますと思います。,山田さんは来年日本に行くと思います。
田中さんは留学するでしょうと思います。,田中さんは留学するだろうと思います。
山下さんは英語が下手でしたと思います。,山下さんは英語が下手だったと思います。
スミスさんの新しい車は高かっただったと思います。,スミスさんの新しい車は高かったと思います。
スミスさんの新しい車は高かったでしたと思います。,スミスさんの新しい車は高かったと思います。
ミラーさんはフランス人だと思いません。,ミラーさんはフランス人じゃないと思います。
私は田中だと申します。,私は田中と申します。
ブラウンさんはあたまがいたいだと言っています。,ブラウンさんはあたまがいたいと言っています。
ホワイトさんは地下鉄はべんりと言っています。,ホワイトさんは地下鉄はべんりだと言っています。
ブラウンさんはあたまがいたいだったと言っています。,ブラウンさんはあたまがいたかったと言っています。
ブラウンさんはあたまがいたいでしたと言っています。,ブラウンさんはあたまがいたかったと言っています。
ホワイトさんは地下鉄はべんりくないと言っています。,ホワイトさんは地下鉄はべんりじゃないと言っています。
ホワイトさんは地下鉄はべんりじゃないですと言っています。,ホワイトさんは地下鉄はべんりじゃないと言っています。
スミスさんは田中さんは日本人なだろうと言っています。,スミスさんは田中さんは日本人だろうと言っています。
スミスさんはえいがを見ますと言っています。,スミスさんはえいがを見ると言っています。
スミスさんはえいがを見るでしょうと言っています。,スミスさんはえいがを見るだろうと言っています。
ざっしは英語でどうと言いますか。,ざっしは英語でどう言いますか。
くだものがやさいほど好きです。,くだものがやさいより好きです。
くだものがやさいの方より好きです。,くだものの方がやさいより好きです。
テニスとバスケとどれが上手ですか。,テニスとバスケとどちらが上手ですか。
テニスとバスケとアメフトの中で、どちらが下手ですか。,テニスとバスケとアメフトの中で、どれが下手ですか。
日本語と英語と話すは、どちらがむずかしいですか。,日本語と英語と話すのは、どちらがむずかしいですか。
日本語を話すが日本語を書くよりやさしいです。,日本語を話すのが日本語を書くよりやさしいです。
おなかがいたいから、いしゃに行くのつもりです。,おなかがいたいから、いしゃに行くつもりです。
へやをそうじしますつもりです。,へやをそうじするつもりです。
写真をとるつもりじゃないです。,写真をとらないつもりです。
山田さんをバスていで待つつもります。,山田さんをバスていで待つつもりです。
明日は早く来ておねがいします。,明日は早く来てください。
明日は早い来てください。,明日は早く来てください。
明日はおそいにきてください。,明日はおそくきてください。
そうじしたので、へやがきれいくなりました。,そうじしたので、へやがきれいになりました。
髪が長いになりましたね。,髪が長くなりましたね。
昨日何か食べませんでした。,昨日何も食べませんでした。
昨日何も食べましたか。,昨日何か食べましたか。
朝から何でも食べていないので、おなかがすいています。,朝から何もたべていないので、おなかがすいています。
早くうちにかえるたいです。,早くうちにかえりたいです。
今日はべんきょうしたいくないです。,今日はべんきょうしたくないです。
今日はべんきょうしたないです。,今日はべんきょうしたくないです。
今日はべんきょうしないたいです。,今日はべんきょうしたくないです。
先生にそうだんしたいます。,先生にそうだんしたいです。
先生にそうだんしてたいです。,先生にそうだんしたいです。
たばこをすわなくてください。,たばこをすわないでください。
たばこをすわないください。,たばこをすわないでください。
たばこをすわないでおねがいします。,たばこをすわないでください。
でんきをけしないでください。,でんきをけさないでください。
でんきをきえないでください。,でんきをけさないでください。
でんきをつけるないでください。,でんきをつけないでください。
でんきをつくないでください。,でんきをつけないでください。
私は東京に行かないことに決まりました。,私は東京に行かないことに決めました。
私は東京に行くことに決めませんでした。,私は東京に行かないことに決めました。
うちで本をよんだり、ケーキをつくりたりします。,うちで本をよんだり、ケーキをつくったりします。
本をかりたり、かしたります。,本をかりたり、かしたりします。
トラックをうんてんしますことがあります。,トラックをうんてんすることがあります。
えをかくのことがあります。,えをかくことがあります。
すしをつくりましたことがあります。,すしをつくったことがあります。
フランス語をべんきょうしたことがありましたでした。,フランス語をべんきょうしたことがありました。
さけをのんだのことがありました。,さけをのんだことがありました。
しゅくだいをするないことがあります。,しゅくだいしないことがあります。
しゅくだいをしませんでしたことがありました。,しゅくだいをしなかったことがありました。
しんかんせんにのるないんです。,しんかんせんにのらないんです。
えんぴつがあらないんです。,えんぴつがないんです。
あたらしいくつを買うんでした。,あたらしいくつを買ったんです。
私は魚はだめんです。,私は魚はだめなんです。
あたらしい車は高いなんです。,あたらしい車は高いんです。
あたらしい車は高いすぎます。,あたらしい車は高すぎます。
山田さんは元気なすぎます。,山田さんは元気すぎます。
山田さんは元気だすぎます。,山田さんは元気すぎます。
さけをのんだすぎました。,さけをのみすぎました。
